number,title,arc,series,japanese_air_date,english_air_date,filler_status,characters
276,Attack of the Gedō Statue,Fourth Shinobi World War: Confrontation,Shippuden,"August 23, 2012","January 10, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Kakashi Hatake', 'Sai', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Neji Hyūga', 'Tenten', 'Tsunade', 'Gaara', 'A (Fourth Raikage)', 'Ōnoki', 'Mei Terumī', 'Shikaku Nara', 'Chōza Akimichi', 'Inoichi Yamanaka', 'Darui', 'Ao', 'Chōjūrō', 'Mabui', 'Mifune', 'Matsuri', 'Yukata', 'Kitsuchi', 'Fire Daimyō', 'Wind Daimyō (Part II)', 'Obito Uchiha', 'Kabuto Yakushi', 'Zetsu', 'Kakuzu', 'Dan']"
277,Unison Sign,Fourth Shinobi World War: Confrontation,Shippuden,"August 30, 2012","January 17, 2015",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Iruka Umino', 'Nine-Tailed Fox', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Shino Aburame', 'Hinata Hyūga', 'Killer B', 'Eight-Tails']"
278,Medic Ninja in Danger,Fourth Shinobi World War: Confrontation,Shippuden,"September 06, 2012","January 24, 2015",Canon,"['Sakura Haruno', 'Neji Hyūga', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Shizune', 'Shikaku Nara', 'Inoichi Yamanaka', 'Ao', 'Mabui', 'Zetsu', 'Nagato', 'Itachi Uchiha', 'Shinobi']"
279,White Zetsu's Trap,Fourth Shinobi World War: Confrontation,Shippuden,"September 13, 2012","January 31, 2015",Filler,"['Shino Aburame', 'Kiba Inuzuka', 'Hinata Hyūga', 'Zetsu', 'Shinobi']"
280,Aesthetics of an Artist,Fourth Shinobi World War: Confrontation,Shippuden,"September 20, 2012","February 07, 2015",Filler,"['Deidara', 'Kabuto Yakushi', 'Zetsu', 'Chūkichi', 'Kankurō', 'Kurotsuchi', 'Mifune', 'Okisuke', 'Shinobi', 'Sasuke Uchiha']"
281,The Allied Mom Force!!,Fourth Shinobi World War: Confrontation,Shippuden,"September 27, 2012","February 14, 2015",Filler,"['Konohamaru', 'Moegi', 'Udon', 'Ebisu', 'Hiruzen Sarutobi', 'Mebuki Haruno', 'Yoshino Nara', ""Chōji's Mother"", ""Ino's Mother"", 'Watase']"
282,The Secret Origin of the Ultimate Tag Team!!,Fourth Shinobi World War: Confrontation,Shippuden,"October 04, 2012","February 21, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Killer B', 'Tsunade', 'Katsuyu', 'A (Fourth Raikage)', 'Minato Namikaze', 'Kushina Uzumaki', 'Third Raikage', 'Dodai', 'Blue B']"
283,Two Suns!! (episode),Fourth Shinobi World War: Confrontation,Shippuden,"October 11, 2012","February 28, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Tsunade', 'A (Fourth Raikage)', 'Katsuyu', 'Mabui', 'Shikaku Nara', 'Obito Uchiha', 'Allied Shinobi Forces']"
284,The Helmet Splitter: Jinin Akebino!,Fourth Shinobi World War: Confrontation,Shippuden,"October 18, 2012","March 07, 2015",Filler,"['Kakashi Hatake', 'Might Guy', 'Sai', 'Rock Lee', 'Danzō', 'Ensui', 'Jinin Akebino', 'Allied Shinobi Forces']"
285,User of the Scorch Release: Pakura of the Sand!,Fourth Shinobi World War: Confrontation,Shippuden,"October 25, 2012","March 14, 2015",Filler,"['Maki', 'Omoi', 'Monga', 'Ruka', 'Zaji', 'Pakura', 'Fuguki Suikazan', 'Gari', 'Fourth Kazekage']"
286,Things You Can't Get Back,Fourth Shinobi World War: Confrontation,Shippuden,"November 01, 2012","March 21, 2015",Filler,"['Naruto Uzumaki', 'Killer B', 'Tsunade', 'A (Fourth Raikage)', 'Shizune', 'Nawaki', 'Dan Katō', 'Amai', 'Karai', 'Nigai']"
287,One Worth Betting On,Fourth Shinobi World War: Confrontation,Shippuden,"November 01, 2012","March 28, 2015",Filler,"['Naruto Uzumaki', 'Killer B', 'Tsunade', 'A (Fourth Raikage)', 'Shizune', 'Dan Katō', 'Amai', 'Karai', 'Nigai', 'Himushi', 'Nokizaru Group']"
288,Danger: Jinpachi and Kushimaru!,Fourth Shinobi World War: Confrontation,Shippuden,"November 08, 2012","April 04, 2015",Filler,"['Kakashi Hatake', 'Might Guy', 'Kakashi Hatake', 'Might Guy', 'Rin', 'Jinpachi Munashi', 'Kushimaru Kuriarare', 'Ran (kunoichi)', 'Allied Shinobi Forces']"
289,The Lightning Blade: Ameyuri Ringo!,Fourth Shinobi World War: Confrontation,Shippuden,"November 15, 2012","April 11, 2015",Filler,"['Kakashi Hatake', 'Might Guy', 'Omoi', 'Killer B', 'Inoichi Yamanaka', 'Ameyuri Ringo', 'Nurui', 'Kayui', 'Yurui (anime)', 'Allied Shinobi Forces']"
290,Power - Episode 1,Power (Arc),Shippuden,"November 22, 2012","April 18, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Tsunade', 'Dokku', 'Leo', 'Miina', 'Faz', 'Sora (orphan)', 'Lando', 'Shiseru', 'Kabuto Yakushi', 'Disonasu', 'Tonika Village Head']"
291,Power - Episode 2,Power (Arc),Shippuden,"November 29, 2012","April 25, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kakashi Hatake', 'Dokku', 'Leo', 'Miina', 'Faz', 'Sora (orphan)', 'Lando', 'Shiseru', 'Kabuto Yakushi', 'Disonasu', 'Tonika Village Head']"
292,Power - Episode 3,Power (Arc),Shippuden,"December 06, 2012","May 02, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kabuto Yakushi', 'Nine-Tailed Fox', 'Dokku', 'Leo', 'Miina', 'Faz', 'Sora (orphan)', 'Lando', 'Shiseru', 'Hidan', 'Deidara', 'Disonasu', 'Tonika Village Head']"
293,Power - Episode 4,Power (Arc),Shippuden,"December 13, 2012","May 09, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kakashi Hatake', 'Might Guy', 'Minato Namikaze', 'Nine-Tailed Fox', 'Dokku', 'Leo', 'Miina', 'Faz', 'Sora (orphan)', 'Lando', 'Shiseru', 'Disonasu', 'Kabuto Yakushi', 'Hidan', 'Shikamaru Nara', 'Chōji Akimichi', 'Kiba Inuzuka', 'Hinata Hyūga', 'Rock Lee', 'Neji Hyūga', 'Tenten']"
294,Power - Episode 5,Power (Arc),Shippuden,"December 20, 2012","May 16, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kakashi Hatake', 'Might Guy', 'Dokku', 'Leo', 'Miina', 'Faz', 'Sora (orphan)', 'Lando', 'Shiseru', 'Kabuto Yakushi', 'Hidan', 'Deidara', 'Disonasu', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Hinata Hyūga', 'Neji Hyūga']"
295,Power - Episode Final,Power (Arc),Shippuden,"January 10, 2013","May 23, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Sai', 'Yamato', 'Kakashi Hatake', 'Dokku', 'Leo', 'Miina', 'Faz', 'Sora (orphan)', 'Lando', 'Shiseru', 'Kabuto Yakushi', 'Disonasu', 'Tonika Village Head', 'Minato Namikaze', 'Nine-Tailed Fox']"
296,Naruto Enters the Battle!,Fourth Shinobi World War: Confrontation,Shippuden,"January 17, 2013","May 30, 2015",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Killer B', 'Tsunade', 'Shizune', 'Katsuyu', 'Shikaku Nara', 'Gaara', 'Temari', 'Ōnoki', 'A (Fourth Raikage)', 'Mabui', 'F', 'Musai', 'Nonota', 'Obito Uchiha', 'Kabuto Yakushi', 'Zetsu', 'Fourth Kazekage', 'Second Mizukage', 'Mū', 'Third Raikage']"
297,"A Father's Hope, A Mother's Love",Fourth Shinobi World War: Confrontation,Shippuden,"January 24, 2013","June 06, 2015",Canon,"['Naruto Uzumaki', 'Gaara', 'Temari', 'Ōnoki', 'Fourth Kazekage', 'Yashamaru', 'Chiyo', 'Karura', 'Pain', 'Second Mizukage', 'Mū', 'Third Raikage', 'Medical ninja']"
298,Contact! Naruto vs. Itachi,Fourth Shinobi World War: Confrontation,Shippuden,"January 31, 2013","June 13, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Eight-Tails', 'Itachi Uchiha', 'Nagato', 'Kabuto Yakushi']"
299,The Acknowledged One,Fourth Shinobi World War: Confrontation,Shippuden,"February 07, 2013","June 20, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Itachi Uchiha', 'Nagato', 'Kabuto Yakushi']"
300,"The Mizukage, the Giant Clam, and the Mirage",Fourth Shinobi World War: Confrontation,Shippuden,"February 14, 2013","June 27, 2015",Canon,"['Naruto Uzumaki', 'Gaara', 'Temari', 'Shikaku Nara', 'Ōnoki', 'Second Mizukage', 'Mū', 'Third Raikage', 'Allied Shinobi Forces']"
301,Paradox,Fourth Shinobi World War: Confrontation,Shippuden,"February 21, 2013","July 04, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Eight-Tails', 'Gaara', 'Temari', 'Inoichi Yamanaka', 'Dodai', 'Matsuri', 'Yukata', 'Kabuto Yakushi', 'Second Mizukage', 'Third Raikage', 'Allied Shinobi Forces']"
302,Terror: Steaming Danger Tyranny,Fourth Shinobi World War: Confrontation,Shippuden,"February 28, 2013","July 11, 2015",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Ōnoki', 'Shikamaru Nara', 'Tenten', 'Neji Hyūga', 'Hinata Hyūga', 'Shizune', 'Matsuri', 'Yukata', 'Kabuto Yakushi', 'Second Mizukage', 'Mū', 'Sealing Team']"
303,Ghosts from the Past,Fourth Shinobi World War: Confrontation,Shippuden,"March 07, 2013","July 18, 2015",Filler,"['Naruto Uzumaki', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Hinata Hyūga', 'Neji Hyūga', 'Tsunade', 'Darui', 'Sakon and Ukon', 'Kidōmaru', 'Tayuya', 'Jirōbō', 'Allied Shinobi Forces']"
304,The Underworld Transfer Jutsu,Fourth Shinobi World War: Confrontation,Shippuden,"March 14, 2013","July 25, 2015",Filler,"['Naruto Uzumaki', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Neji Hyūga', 'Kabuto Yakushi', 'Sakon and Ukon', 'Kidōmaru', 'Tayuya', 'Jirōbō', 'Inoichi Yamanaka', 'Allied Shinobi Forces']"
305,The Vengeful,Fourth Shinobi World War: Confrontation,Shippuden,"March 21, 2013","August 08, 2015",Filler,"['Naruto Uzumaki', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Neji Hyūga', 'Kabuto Yakushi', 'Sakon and Ukon', 'Kidōmaru', 'Tayuya', 'Jirōbō', 'Shikaku Nara', 'Inoichi Yamanaka', 'Orochimaru', 'Allied Shinobi Forces']"
306,The Heart's Eye,Fourth Shinobi World War: Confrontation,Shippuden,"March 28, 2013","August 15, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Hinata Hyūga', 'Neji Hyūga', 'Kakashi Hatake', 'Might Guy']"
307,Fade into the Moonlight,Fourth Shinobi World War: Confrontation,Shippuden,"April 04, 2013","August 22, 2015",Filler,"['Sakura Haruno', 'Hayate Gekkō', 'Yūgao Uzuki', 'Tsunade', 'Gaara', 'Mabui', 'Kiba Inuzuka', 'Shino Aburame', 'Hinata Hyūga', 'Neji Hyūga', 'Sukui', 'Yokaze', 'Iō (medical-nin)', 'Kabuto Yakushi', 'Kimimaro', 'Dosu Kinuta', 'Hana Inuzuka']"
308,Night of the Crescent Moon,Fourth Shinobi World War: Confrontation,Shippuden,"April 11, 2013","August 29, 2015",Filler,"['Sakura Haruno', 'Hayate Gekkō', 'Yūgao Uzuki', 'Kakashi Hatake', 'Sukui', 'Yokaze', 'Iō (medical-nin)', 'Hiruzen Sarutobi', 'Kabuto Yakushi']"
309,An A-Rank Mission: The Contest,Fourth Shinobi World War: Confrontation,Shippuden,"April 18, 2013","September 05, 2015",Filler,"['Naruto Uzumaki', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Tsunade', 'Yamato', 'Karui', 'Hidan', 'Kakuzu', 'Deidara', 'Sasori', 'Tatewaki', 'Shū (lord)', 'Chiyo (princess)', 'Isono', 'Tamao', 'This Daimyō']"
310,The Fallen Castle,Fourth Shinobi World War: Confrontation,Shippuden,"April 25, 2013","September 12, 2015",Filler,"['Naruto Uzumaki', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Tsunade', 'Yamato', 'Karui', 'Deidara', 'Sasori', 'Tatewaki', 'Shū (lord)', 'Chiyo (princess)', 'Isono', 'Tamao']"
311,Prologue of Road to Ninja,,Shippuden,"May 02, 2013","September 19, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Might Guy', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Obito Uchiha', 'Zetsu', 'Mebuki Haruno', 'Kizashi Haruno']"
312,The Old Master and the Dragon's Eye,Fourth Shinobi World War: Confrontation,Shippuden,"May 09, 2013","September 26, 2015",Filler,"['Naruto Uzumaki', 'Sai', 'Rock Lee', 'Tenten', 'Might Guy', 'Chen', 'Azami', 'Shinobi']"
313,"Rain Followed by Snow, with Some Lightning",Fourth Shinobi World War: Confrontation,Shippuden,"May 16, 2013","October 03, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yota', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Shino Aburame', 'Darui', 'Chōza Akimichi', 'Sukui', 'Allied Shinobi Forces']"
314,The Sad Sun Shower,Fourth Shinobi World War: Confrontation,Shippuden,"May 23, 2013","October 10, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yota', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Inoichi Yamanaka']"
315,Lingering Snow,Fourth Shinobi World War: Confrontation,Shippuden,"May 30, 2013","October 17, 2015",Filler,"['Naruto Uzumaki', 'Sakura Haruno', 'Yota', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Hiruzen Sarutobi', 'Kabuto Yakushi']"
316,The Reanimated Allied Forces,Fourth Shinobi World War: Confrontation,Shippuden,"June 06, 2013","October 24, 2015",Filler,"['Kabuto Yakushi', 'Orochimaru', 'Sasuke Uchiha', 'Zetsu', 'Torune', 'Temari', 'Matsuri', 'Yukata', 'Musai', 'Nonota', 'Allied Shinobi Forces', 'Daimaru', 'Chūkaku', 'Osoi', 'Heiji']"
317,Shino vs. Torune!,Fourth Shinobi World War: Confrontation,Shippuden,"June 13, 2013","October 31, 2015",Filler,"['Naruto Uzumaki', 'Shino Aburame', 'Torune', 'Tsunade', 'Kiba Inuzuka', 'Shikaku Nara', 'Inoichi Yamanaka', 'Shibi Aburame', 'Iruka Umino', 'Kabuto Yakushi', 'Danzō', 'Fū Yamanaka']"
318,A Hole in the Heart: The Other Jinchūriki,Fourth Shinobi World War: Confrontation,Shippuden,"June 20, 2013","November 07, 2015",Filler,"['Naruto Uzumaki', 'Killer B', 'Eight-Tails', 'Motoi', 'A (Fourth Raikage)', 'Fukai', 'Orochimaru', 'Kabuto Yakushi', 'Zetsu', 'Killer B']"
319,The Soul Living Inside the Puppet,Fourth Shinobi World War: Confrontation,Shippuden,"June 27, 2013","November 14, 2015",Filler,"['Kankurō', 'Chiyo', 'Sasori', 'Sakura Haruno', 'Sasori', 'Komushi', 'Mifune', ""Sasori's father""]"
320,"Run, Omoi!",Fourth Shinobi World War: Confrontation,Shippuden,"July 04, 2013","November 21, 2015",Filler,"['Naruto Uzumaki', 'Sai', 'Kakashi Hatake', 'Might Guy', 'Omoi', 'Karui', 'Tsunade', 'A (Fourth Raikage)', 'Shikaku Nara', 'Inoichi Yamanaka', 'Rock Lee', 'Mabui', 'Zetsu', 'Yukai', 'Allied Shinobi Forces']"
321,Reinforcements Arrive,Fourth Shinobi World War: Confrontation,Shippuden,"July 18, 2013","November 28, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Sakura Haruno', 'Sai', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Neji Hyūga', 'Rock Lee', 'Kakashi Hatake', 'Might Guy', 'Tsunade', 'A (Fourth Raikage)', 'Gaara', 'Mei Terumī', 'Ōnoki', 'Shikaku Nara', 'Chōza Akimichi', 'Inoichi Yamanaka', 'Genma Shiranui', 'Raidō Namiashi', 'Temari', 'Shizune', 'Madara Uchiha', 'Chiyo', 'Kimimaro', 'Dan Katō', 'Mū', 'Mifune', 'Darui', 'Ao', 'Kitsuchi', 'Allied Shinobi Forces']"
322,Madara Uchiha (episode),Fourth Shinobi World War: Climax,Shippuden,"July 25, 2013","December 05, 2015",Canon,"['Naruto Uzumaki', 'Tsunade', 'A (Fourth Raikage)', 'Gaara', 'Ōnoki', 'Nine-Tailed Fox', 'Temari', 'Shikaku Nara', 'Inoichi Yamanaka', 'Ao', 'Dodai', 'Madara Uchiha', 'Kabuto Yakushi', 'Mū', 'Allied Shinobi Forces']"
323,The Five Kage Assemble,Fourth Shinobi World War: Climax,Shippuden,"August 01, 2013","December 12, 2015",Canon,"['Naruto Uzumaki', 'Nine-Tailed Fox', 'Tsunade', 'A (Fourth Raikage)', 'Gaara', 'Mei Terumī', 'Ōnoki', 'Madara Uchiha', 'Kabuto Yakushi', 'Zetsu', 'Shikaku Nara', 'Temari', 'Katsuyu', 'Mabui', 'Genma Shiranui', 'Raidō Namiashi', 'Chōjūrō', 'Iwashi Tatami', 'Dodai', 'Sagan', 'Ōnoki']"
324,The Unbreakable Mask and the Shattered Bubble,Fourth Shinobi World War: Climax,Shippuden,"August 08, 2013","December 18, 2015",Mixed,"['Naruto Uzumaki', 'Killer B', 'Eight-Tails', 'Obito Uchiha', 'Utakata', 'Yagura Karatachi', 'Rōshi', 'Fū', 'Pain', 'Ajisai', 'Hotaru', 'Kabuto Yakushi']"
325,Jinchūriki vs. Jinchūriki,Fourth Shinobi World War: Climax,Shippuden,"August 15, 2013","December 24, 2015",Canon,"['Naruto Uzumaki', 'Killer B', 'Eight-Tails', 'Kakashi Hatake', 'Might Guy', 'Obito Uchiha', 'Kisame Hoshigaki', 'Yugito Nii', 'Yagura Karatachi', 'Rōshi', 'Han', 'Utakata', 'Fū', 'Kankurō', 'Shikaku Nara', 'Inoichi Yamanaka', 'Mifune', 'Darui', 'Ao', 'Kitsuchi', 'Kurotsuchi', 'Allied Shinobi Forces']"
326,"Four-Tails, the King of Sage Monkeys",Fourth Shinobi World War: Climax,Shippuden,"August 22, 2013","December 31, 2015",Canon,"['Naruto Uzumaki', 'Kurama', 'Killer B', 'Eight-Tails', 'Son Gokū', 'Five-Tails', 'Kakashi Hatake', 'Might Guy', 'Hashirama Senju', 'Kushina Uzumaki', 'Mito Uzumaki', 'Madara Uchiha', 'Zetsu', 'Sasuke Uchiha', 'Suigetsu', 'Jūgo']"
327,Nine-Tails (episode),Fourth Shinobi World War: Climax,Shippuden,"August 29, 2013","January 07, 2016",Mixed,"['Naruto Uzumaki', 'Kurama', 'Son Gokū', 'Jiraiya', 'Tsunade', 'Iruka Umino', 'Mizuki', 'Sasuke Uchiha', 'Kakashi Hatake', 'Minato Namikaze', 'Nagato']"
328,Kurama (episode),Fourth Shinobi World War: Climax,Shippuden,"August 29, 2013","January 14, 2016",Mixed,"['Naruto Uzumaki', 'Kurama', 'Killer B', 'Son Gokū', 'Obito Uchiha', 'Kakashi Hatake', 'Might Guy', 'Sakura Haruno', 'Shizune', 'Sukui', 'Tsunade', 'Iruka Umino', 'Kabuto Yakushi', 'Neji Hyūga', 'Inari', 'Nagato', 'Nagato']"
329,Two-Man Team,Fourth Shinobi World War: Climax,Shippuden,"September 05, 2013","January 21, 2016",Canon,"['Naruto Uzumaki', 'Kurama', 'Killer B', 'Gyūki', 'Yugito Nii', 'Matatabi', 'Yagura Karatachi', 'Isobu', 'Rōshi', 'Son Gokū', 'Han', 'Kokuō', 'Utakata', 'Saiken', 'Fū', 'Chōmei', 'Kakashi Hatake', 'Might Guy', 'Obito Uchiha', 'Hagoromo Ōtsutsuki']"
330,The Promise of Victory,Fourth Shinobi World War: Climax,Shippuden,"September 12, 2013","January 28, 2016",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Might Guy', 'Gyūki', 'Obito Uchiha', 'Shikamaru Nara', 'Chōji Akimichi', 'Ino Yamanaka', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Neji Hyūga', 'Tenten', 'Sai', 'Rock Lee', 'Shikaku Nara', 'Inoichi Yamanaka', 'Ao', 'Shun', 'Natsu', 'Allied Shinobi Forces']"
331,Eyes That See in the Dark,Fourth Shinobi World War: Climax,Shippuden,"September 19, 2013","February 04, 2016",Mixed,"['Sasuke Uchiha', 'Suigetsu', 'Jūgo', 'Karin', 'Konohamaru', 'Moegi', 'Udon', 'Watase', 'Itachi Uchiha', 'Zetsu', 'Allied Shinobi Forces']"
332,A Will of Stone,Fourth Shinobi World War: Climax,Shippuden,"September 26, 2013","February 11, 2016",Canon,"['Sasuke Uchiha', 'Itachi Uchiha', 'Madara Uchiha', 'Kabuto Yakushi', 'Tsunade', 'Gaara', 'A (Fourth Raikage)', 'Mei Terumī', 'Ōnoki', 'Genma Shiranui', 'First Tsuchikage', 'Ōnoki']"
333,The Risks of the Impure World Reincarnation,Fourth Shinobi World War: Climax,Shippuden,"October 03, 2013","February 18, 2016",Canon,"['Sasuke Uchiha', 'Itachi Uchiha', 'Kabuto Yakushi', 'Tsunade', 'Gaara', 'A (Fourth Raikage)', 'Mei Terumī', 'Ōnoki', 'Madara Uchiha', 'Chōza Akimichi', 'Dan Katō']"
334,Sibling Tag Team,Fourth Shinobi World War: Climax,Shippuden,"October 10, 2013","February 25, 2016",Canon,"['Sasuke Uchiha', 'Itachi Uchiha', 'Kabuto Yakushi', 'Tsunade', 'Gaara', 'A (Fourth Raikage)', 'Mei Terumī', 'Ōnoki', 'Madara Uchiha', 'Shikaku Nara', 'Inoichi Yamanaka', 'Ao', 'Mabui']"
335,To Each Their Own Leaf,Fourth Shinobi World War: Climax,Shippuden,"October 24, 2013","March 04, 2016",Canon,"['Sasuke Uchiha', 'Itachi Uchiha', 'Kabuto Yakushi', 'Obito Uchiha', 'Nonō', 'Kabuto Yakushi', 'Kanpu', 'Keiri', 'Urushi', 'Terubō']"
336,Kabuto Yakushi (episode),Fourth Shinobi World War: Climax,Shippuden,"October 31, 2013","March 11, 2016",Canon,"['Kabuto Yakushi', 'Nonō', 'Kabuto Yakushi', 'Danzō', 'Orochimaru', 'Kitsuchi', 'Tatsuma Aburame', 'Sasori', 'Kanpu', 'Keiri', 'Urushi']"
337,The Izanami Activated,Fourth Shinobi World War: Climax,Shippuden,"November 07, 2013","March 18, 2016",Canon,"['Sasuke Uchiha', 'Itachi Uchiha', 'Kabuto Yakushi', 'Fugaku Uchiha']"
338,Izanagi and Izanami,Fourth Shinobi World War: Climax,Shippuden,"November 14, 2013","March 25, 2016",Mixed,"['Sasuke Uchiha', 'Itachi Uchiha', 'Kabuto Yakushi', 'Rai Uchiha', 'Baru Uchiha', 'Naka Uchiha', 'Naori Uchiha', 'Urushi']"
339,I Will Love You Always,Fourth Shinobi World War: Climax,Shippuden,"November 21, 2013","July 05, 2016",Canon,"['Sasuke Uchiha', 'Itachi Uchiha', 'Madara Uchiha', 'Tsunade', 'Gaara', 'A (Fourth Raikage)', 'Mei Terumī', 'Ōnoki', 'Hiruzen Sarutobi', 'Danzō', 'Koharu Utatane', 'Shisui Uchiha', 'Fugaku Uchiha', 'Mikoto Uchiha', 'Kabuto Yakushi']"
340,Impure World Reincarnation: Release!,Fourth Shinobi World War: Climax,Shippuden,"November 28, 2013","July 05, 2016",Canon,"['Naruto Uzumaki', 'Killer B', 'Tsunade', 'Gaara', 'A (Fourth Raikage)', 'Mei Terumī', 'Ōnoki', 'Kakashi Hatake', 'Might Guy', 'Kankurō', 'Genma Shiranui', 'Shikaku Nara', 'Inoichi Yamanaka', 'Ao', 'Maki', 'Sasuke Uchiha', 'Suigetsu', 'Chiyo', 'Deidara', 'Chōza Akimichi', 'Dan Katō', 'Mū', 'Pakura', 'Madara Uchiha']"
341,Orochimaru's Return,Fourth Shinobi World War: Climax,Shippuden,"December 05, 2013","July 05, 2016",Canon,"['Naruto Uzumaki', 'Kurama', 'Killer B', 'Gyūki', 'Kakashi Hatake', 'Might Guy', 'Obito Uchiha', 'Sasuke Uchiha', 'Suigetsu', 'Jūgo', 'Orochimaru']"
342,The Secret of the Space–Time Ninjutsu (episode),Fourth Shinobi World War: Climax,Shippuden,"December 12, 2013","July 05, 2016",Canon,"['Naruto Uzumaki', 'Kurama', 'Killer B', 'Kakashi Hatake', 'Might Guy', 'Obito Uchiha']"
343,Who Are You?,Fourth Shinobi World War: Climax,Shippuden,"December 19, 2013","July 05, 2016",Canon,"['Naruto Uzumaki', 'Killer B', 'Kakashi Hatake', 'Might Guy', 'Madara Uchiha', 'Obito Uchiha', 'Minato Namikaze', 'Kakashi Hatake', 'Obito Uchiha', 'Rin', 'Taiseki']"
344,Obito and Madara (episode),Fourth Shinobi World War: Climax,Shippuden,"January 09, 2014","July 05, 2016",Canon,"['Naruto Uzumaki', 'Kakashi Hatake', 'Might Guy', 'Killer B', 'Gyūki', 'Madara Uchiha', 'Obito Uchiha', 'Tsunade', 'Katsuyu', 'Kakashi Hatake', 'Obito Uchiha', 'Rin', 'Kakkō', 'Taiseki']"
345,I'm in Hell,Fourth Shinobi World War: Climax,Shippuden,"January 16, 2014","July 05, 2016",Canon,"['Kakashi Hatake', 'Obito Uchiha', 'Rin', 'Madara Uchiha', 'Zetsu']"
346,World of Dreams,Fourth Shinobi World War: Climax,Shippuden,"January 23, 2014","July 05, 2016",Mixed,"['Obito Uchiha', 'Madara Uchiha', 'Zetsu', 'Yahiko', 'Nagato', 'Konan', 'Kyūsuke']"
347,Creeping Shadow,Fourth Shinobi World War: Climax,Shippuden,"January 23, 2014","July 05, 2016",Filler,"['Kakashi Hatake', 'Jiraiya', 'Obito Uchiha', 'Zetsu', 'Yahiko', 'Nagato', 'Konan', 'Kyūsuke', 'Daibutsu', 'Danzō', 'Hanzō of the Salamander', 'Monjin', 'Nagato']"
348,The New Akatsuki,Fourth Shinobi World War: Climax,Shippuden,"January 30, 2014","July 05, 2016",Filler,"['Yahiko', 'Nagato', 'Konan', 'Obito Uchiha', 'Zetsu', 'Danzō', 'Hanzō of the Salamander', 'Kyūsuke', 'Daibutsu']"
